,Unnamed: 0,Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
0,144,2017-05-25 18:42:00-04:00,4.849,8551910,NOAA,2017-05-25,2023-05-28 18:42:00,4.849,NAVD,0,8551910-2017-144
1,205,2017-07-24 20:12:00-04:00,4.642,8551910,NOAA,2017-07-24,2023-05-28 20:12:00,4.642,NAVD,0,8551910-2017-205
2,22947,2018-04-15 16:42:00-04:00,4.63,1484085,USGS,2018-04-15,2023-05-28 16:42:00,4.63,NAVD,0,01484085-2018-22947
3,30887,2018-05-18 20:06:00-04:00,4.51,1484085,USGS,2018-05-18,2023-05-28 20:06:00,4.51,NAVD,0,01484085-2018-30887
4,57943,2018-09-08 16:24:00-04:00,4.58,1484085,USGS,2018-09-08,2023-05-28 16:24:00,4.58,NAVD,0,01484085-2018-57943
5,69580,2018-10-27 06:18:00-04:00,4.74,1484085,USGS,2018-10-27,2023-05-28 06:18:00,4.74,NAVD,0,01484085-2018-69580
6,76784,2018-11-26 06:36:00-05:00,4.59,1484085,USGS,2018-11-26,2023-05-28 06:36:00,4.59,NAVD,0,01484085-2018-76784
7,22,2016-01-23 03:24:00-05:00,6.627,8557380,NOAA,2016-01-23,2023-05-28 03:24:00,6.627,NAVD,0,8557380-2016-22
8,38,2016-02-08 03:36:00-05:00,4.439,8557380,NOAA,2016-02-08,2023-05-28 03:36:00,4.439,NAVD,0,8557380-2016-38
9,272,2016-09-29 15:48:00-04:00,4.38,8557380,NOAA,2016-09-29,2023-05-28 15:48:00,4.38,NAVD,0,8557380-2016-272
10,64,2018-03-06 09:30:00-05:00,4.688,8551910,NOAA,2018-03-06,2023-05-28 09:30:00,4.688,NAVD,0,8551910-2018-64
11,105,2018-04-16 07:12:00-04:00,5.125,8551910,NOAA,2018-04-16,2023-05-28 07:12:00,5.125,NAVD,0,8551910-2018-105
12,221,2018-08-10 18:24:00-04:00,4.577,8551910,NOAA,2018-08-10,2023-05-28 18:24:00,4.577,NAVD,0,8551910-2018-221
13,251,2018-09-09 19:18:00-04:00,5.65,8551910,NOAA,2018-09-09,2023-05-28 19:18:00,5.65,NAVD,0,8551910-2018-251
14,266,2018-09-24 19:06:00-04:00,4.58,8551910,NOAA,2018-09-24,2023-05-28 19:06:00,4.58,NAVD,0,8551910-2018-266
