Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
2016-01-01 11:06:00-05:00,2.155,8551762,NOAA,2016-01-01,11:06:00,2.195,MSL,-0.04,8551762-2016-0
2016-01-02 12:00:00-05:00,2.053,8551762,NOAA,2016-01-02,12:00:00,2.093,MSL,-0.04,8551762-2016-1
2016-01-03 00:36:00-05:00,2.46,8551762,NOAA,2016-01-03,00:36:00,2.5,MSL,-0.04,8551762-2016-2
2016-01-04 01:48:00-05:00,2.266,8551762,NOAA,2016-01-04,01:48:00,2.306,MSL,-0.04,8551762-2016-3
2016-01-05 15:06:00-05:00,2.7159999999999997,8551762,NOAA,2016-01-05,15:06:00,2.756,MSL,-0.04,8551762-2016-4
2016-01-06 03:18:00-05:00,3.254,8551762,NOAA,2016-01-06,03:18:00,3.294,MSL,-0.04,8551762-2016-5
2016-01-07 04:12:00-05:00,2.726,8551762,NOAA,2016-01-07,04:12:00,2.766,MSL,-0.04,8551762-2016-6
2016-01-08 05:12:00-05:00,3.283,8551762,NOAA,2016-01-08,05:12:00,3.323,MSL,-0.04,8551762-2016-7
2016-01-09 05:54:00-05:00,4.228,8551762,NOAA,2016-01-09,05:54:00,4.268,MSL,-0.04,8551762-2016-8
2016-01-10 06:30:00-05:00,5.062,8551762,NOAA,2016-01-10,06:30:00,5.102,MSL,-0.04,8551762-2016-9
2016-01-11 07:18:00-05:00,2.575,8551762,NOAA,2016-01-11,07:18:00,2.615,MSL,-0.04,8551762-2016-10
2016-01-12 08:18:00-05:00,3.776,8551762,NOAA,2016-01-12,08:18:00,3.816,MSL,-0.04,8551762-2016-11
2016-01-13 09:00:00-05:00,1.623,8551762,NOAA,2016-01-13,09:00:00,1.663,MSL,-0.04,8551762-2016-12
2016-01-14 09:48:00-05:00,2.4699999999999998,8551762,NOAA,2016-01-14,09:48:00,2.51,MSL,-0.04,8551762-2016-13
2016-01-15 10:42:00-05:00,2.798,8551762,NOAA,2016-01-15,10:42:00,2.838,MSL,-0.04,8551762-2016-14
2016-01-15 22:54:00-05:00,3.261,8551762,NOAA,2016-01-15,22:54:00,3.301,MSL,-0.04,8551762-2016-15
2016-01-17 12:18:00-05:00,2.955,8551762,NOAA,2016-01-17,12:18:00,2.995,MSL,-0.04,8551762-2016-16
2016-01-18 13:12:00-05:00,0.813,8551762,NOAA,2016-01-18,13:12:00,0.853,MSL,-0.04,8551762-2016-17
2016-01-19 02:12:00-05:00,0.619,8551762,NOAA,2016-01-19,02:12:00,0.659,MSL,-0.04,8551762-2016-18
2016-01-20 03:42:00-05:00,0.82,8551762,NOAA,2016-01-20,03:42:00,0.86,MSL,-0.04,8551762-2016-19
2016-01-21 04:06:00-05:00,2.463,8551762,NOAA,2016-01-21,04:06:00,2.503,MSL,-0.04,8551762-2016-20
2016-01-22 04:54:00-05:00,2.762,8551762,NOAA,2016-01-22,04:54:00,2.802,MSL,-0.04,8551762-2016-21
2016-01-23 06:18:00-05:00,5.718,8551762,NOAA,2016-01-23,06:18:00,5.758,MSL,-0.04,8551762-2016-22
