,Date Time,Water Level
9,2016-01-10 06:24:00-05:00,4.836
22,2016-01-23 06:18:00-05:00,4.764
38,2016-02-08 18:24:00-05:00,4.623
55,2016-02-24 19:30:00-05:00,4.633
125,2016-05-05 18:18:00-04:00,4.659
126,2016-05-06 18:54:00-04:00,4.705
272,2016-09-29 18:36:00-04:00,4.606
