,Source,SiteID,Date Time,Water Level,Date,Time,Measured Water Level,VDatum,Offset,Identifier
18708,USGS,01484085,2019-03-21 18:00:00-04:00,4.63,2019-03-21,18:00:00,4.63,NAVD,0,01484085-2019-18708
29512,USGS,01484085,2019-05-05 19:12:00-04:00,4.5,2019-05-05,19:12:00,4.5,NAVD,0,01484085-2019-29512
67311,USGS,01484085,2019-10-10 16:30:00-04:00,4.52,2019-10-10,16:30:00,4.52,NAVD,0,01484085-2019-67311
