,Source,SiteID,Date Time,Water Level,Date,Time,Identifier
570,USGS,01484085,2022-01-03 04:12:00-05:00,4.52,2022-01-03,09:12,01484085-2022-570
24942,USGS,01484085,2022-04-18 18:24:00-04:00,4.55,2022-04-18,22:24,01484085-2022-24942
