,Date Time,Water Level,SiteID,Source,Date,Time,Identifier
2,2022-01-03 04:18:00-05:00,4.885,8557380,NOAA,2022-01-03,04:18:00,8557380-2022-2
107,2022-04-18 17:54:00-04:00,4.711,8557380,NOAA,2022-04-18,17:54:00,8557380-2022-107
274,2022-10-02 10:12:00-04:00,4.452,8557380,NOAA,2022-10-02,10:12:00,8557380-2022-274
