,Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
144,2017-05-25 18:42:00-04:00,4.849,8551910,NOAA,2017-05-25,18:42:00,4.849,NAVD,0,8551910-2017-144
205,2017-07-24 20:12:00-04:00,4.642,8551910,NOAA,2017-07-24,20:12:00,4.642,NAVD,0,8551910-2017-205
