,Date Time,Water Level,SiteID,Source,Date,Time,Identifier
22,2016-01-23 03:24:00-05:00,6.627,8557380,NOAA,2016-01-23,03:24:00,8557380-2016-22
38,2016-02-08 03:36:00-05:00,4.439,8557380,NOAA,2016-02-08,03:36:00,8557380-2016-38
272,2016-09-29 15:48:00-04:00,4.38,8557380,NOAA,2016-09-29,15:48:00,8557380-2016-272
