,Source,SiteID,Date Time,Water Level,Date,Time,Measured Water Level,VDatum,Offset,Identifier
35453,USGS,01484085,2021-05-28 20:12:00-04:00,4.5,2021-05-28,20:12:00,4.5,NAVD,0,01484085-2021-35453
72269,USGS,01484085,2021-10-29 10:06:00-04:00,4.57,2021-10-29,10:06:00,4.57,NAVD,0,01484085-2021-72269
