,Date Time,Water Level
22,2016-01-23 03:24:00-05:00,6.627
23,2016-01-24 03:48:00-05:00,4.426
38,2016-02-08 03:36:00-05:00,4.439
39,2016-02-09 04:00:00-05:00,4.61
272,2016-09-29 15:48:00-04:00,4.38
