,Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
64,2018-03-06 09:30:00-05:00,4.688,8551910,NOAA,2018-03-06,09:30:00,4.688,NAVD,0,8551910-2018-64
105,2018-04-16 07:12:00-04:00,5.125,8551910,NOAA,2018-04-16,07:12:00,5.125,NAVD,0,8551910-2018-105
221,2018-08-10 18:24:00-04:00,4.577,8551910,NOAA,2018-08-10,18:24:00,4.577,NAVD,0,8551910-2018-221
251,2018-09-09 19:18:00-04:00,5.65,8551910,NOAA,2018-09-09,19:18:00,5.65,NAVD,0,8551910-2018-251
266,2018-09-24 19:06:00-04:00,4.58,8551910,NOAA,2018-09-24,19:06:00,4.58,NAVD,0,8551910-2018-266
299,2018-10-27 08:36:00-04:00,4.797,8551910,NOAA,2018-10-27,08:36:00,4.797,NAVD,0,8551910-2018-299
320,2018-11-26 08:36:00-05:00,5.19,8551910,NOAA,2018-11-26,08:36:00,5.19,NAVD,0,8551910-2018-320
