,Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
9,2016-01-10 06:24:00-05:00,4.836,8551910,NOAA,2016-01-10,06:24:00,4.836,NAVD,0,8551910-2016-9
22,2016-01-23 06:18:00-05:00,4.764,8551910,NOAA,2016-01-23,06:18:00,4.764,NAVD,0,8551910-2016-22
38,2016-02-08 18:24:00-05:00,4.623,8551910,NOAA,2016-02-08,18:24:00,4.623,NAVD,0,8551910-2016-38
55,2016-02-24 19:30:00-05:00,4.633,8551910,NOAA,2016-02-24,19:30:00,4.633,NAVD,0,8551910-2016-55
125,2016-05-05 18:18:00-04:00,4.659,8551910,NOAA,2016-05-05,18:18:00,4.659,NAVD,0,8551910-2016-125
272,2016-09-29 18:36:00-04:00,4.606,8551910,NOAA,2016-09-29,18:36:00,4.606,NAVD,0,8551910-2016-272
