,Source,SiteID,Date Time,Water Level,Date,Time,Identifier
5852,USGS,01484085,2020-01-25 04:30:00-05:00,4.54,2020-01-25,09:30,01484085-2020-5852
68381,USGS,01484085,2020-10-12 14:18:00-04:00,4.65,2020-10-12,18:18,01484085-2020-68381
72586,USGS,01484085,2020-10-30 04:54:00-04:00,4.51,2020-10-30,08:54,01484085-2020-72586
