,Source,SiteID,Date Time,Water Level,Date,Time,Identifier
2249,USGS,01484085,2016-01-10 03:54:00-05:00,4.51,2016-01-10,08:54,01484085-2016-2249
8491,USGS,01484085,2016-02-09 04:06:00-05:00,4.65,2016-02-09,09:06,01484085-2016-8491
63198,USGS,01484085,2016-09-29 04:54:00-04:00,4.54,2016-09-29,08:54,01484085-2016-63198
