,Source,SiteID,Date Time,Water Level,Date,Time,Measured Water Level,VDatum,Offset,Identifier
22947,USGS,01484085,2018-04-15 16:42:00-04:00,4.63,2018-04-15,16:42:00,4.63,NAVD,0,01484085-2018-22947
30887,USGS,01484085,2018-05-18 20:06:00-04:00,4.51,2018-05-18,20:06:00,4.51,NAVD,0,01484085-2018-30887
57943,USGS,01484085,2018-09-08 16:24:00-04:00,4.58,2018-09-08,16:24:00,4.58,NAVD,0,01484085-2018-57943
69580,USGS,01484085,2018-10-27 06:18:00-04:00,4.74,2018-10-27,06:18:00,4.74,NAVD,0,01484085-2018-69580
76784,USGS,01484085,2018-11-26 06:36:00-05:00,4.59,2018-11-26,06:36:00,4.59,NAVD,0,01484085-2018-76784
