Date Time, Water Level, Sigma,Flag, F, R, L, Quality 
2016-05-01 04:54:00-04:00,-1.7,0.003,0,0,0,0,v
2016-05-01 05:00:00-04:00,-1.719,0.006,0,0,0,0,v
2016-05-01 05:06:00-04:00,-1.791,0.003,0,0,0,0,v
2016-05-01 05:12:00-04:00,-1.818,0.003,0,0,0,0,v
2016-05-01 05:18:00-04:00,-1.785,0.003,0,0,0,0,v
2016-05-01 05:24:00-04:00,-1.801,0.003,0,0,0,0,v
2016-05-01 05:30:00-04:00,-1.768,0.002,0,0,0,0,v
2016-05-01 05:36:00-04:00,-1.785,0.003,0,0,0,0,v
2016-05-01 05:42:00-04:00,-1.752,0.003,0,0,0,0,v
2016-05-01 05:48:00-04:00,-1.801,0.004,0,0,0,0,v
2016-05-01 05:54:00-04:00,-1.729,0.015,0,0,0,0,v
2016-05-01 06:00:00-04:00,-1.69,0.007,0,0,0,0,v
2016-05-01 06:06:00-04:00,-1.709,0.005,0,0,0,0,v
2016-05-01 06:12:00-04:00,-1.729,0.006,0,0,0,0,v
2016-05-01 06:18:00-04:00,-1.65,0.008,0,0,0,0,v
2016-05-01 06:24:00-04:00,-1.562,0.006,0,0,0,0,v
2016-05-01 06:30:00-04:00,-1.476,0.005,0,0,0,0,v
2016-05-01 06:36:00-04:00,-1.45,0.008,0,0,0,0,v
2016-05-01 06:42:00-04:00,-1.431,0.004,0,0,0,0,v
2016-05-01 06:48:00-04:00,-1.335,0.009,0,0,0,0,v
2016-05-01 06:54:00-04:00,-1.303,0.015,0,0,0,0,v
2016-05-01 07:00:00-04:00,-1.237,0.008,0,0,0,0,v
2016-05-01 07:06:00-04:00,-1.158,0.009,0,0,0,0,v
2016-05-01 07:12:00-04:00,-1.122,0.009,0,0,0,0,v
2016-05-01 07:18:00-04:00,-1.079,0.008,0,0,0,0,v
2016-05-01 07:24:00-04:00,-0.925,0.007,0,0,0,0,v
2016-05-01 07:30:00-04:00,-0.892,0.005,0,0,0,0,v
2016-05-01 07:36:00-04:00,-0.781,0.01,0,0,0,0,v
2016-05-01 07:42:00-04:00,-0.742,0.006,0,0,0,0,v
2016-05-01 07:48:00-04:00,-0.669,0.006,0,0,0,0,v
2016-05-01 07:54:00-04:00,-0.591,0.006,0,0,0,0,v
2016-05-01 08:00:00-04:00,-0.554,0.004,0,0,0,0,v
2016-05-01 08:06:00-04:00,-0.486,0.006,0,0,0,0,v
2016-05-01 08:12:00-04:00,-0.351,0.007,0,0,0,0,v
2016-05-01 08:18:00-04:00,-0.322,0.004,0,0,0,0,v
2016-05-01 08:24:00-04:00,-0.144,0.007,0,0,0,0,v
2016-05-01 08:30:00-04:00,-0.039,0.007,0,0,0,0,v
2016-05-01 08:36:00-04:00,0.082,0.007,0,0,0,0,v
2016-05-01 08:42:00-04:00,0.131,0.006,0,0,0,0,v
