Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
2016-01-10 06:24:00-05:00,4.84,8551910,NOAA,2016-01-10,06:24:00,4.836,NAVD,0,8551910-2016-9
2016-01-23 06:18:00-05:00,4.76,8551910,NOAA,2016-01-23,06:18:00,4.764,NAVD,0,8551910-2016-22
2016-02-08 18:24:00-05:00,4.62,8551910,NOAA,2016-02-08,18:24:00,4.623,NAVD,0,8551910-2016-38
2016-02-09 06:48:00-05:00,5.02,8551910,NOAA,2016-02-09,06:48:00,5.023,NAVD,0,8551910-2016-39
2016-02-24 19:30:00-05:00,4.63,8551910,NOAA,2016-02-24,19:30:00,4.633,NAVD,0,8551910-2016-55
2016-05-05 18:18:00-04:00,4.66,8551910,NOAA,2016-05-05,18:18:00,4.659,NAVD,0,8551910-2016-125
2016-05-06 18:54:00-04:00,4.71,8551910,NOAA,2016-05-06,18:54:00,4.705,NAVD,0,8551910-2016-126
2016-09-29 18:36:00-04:00,4.61,8551910,NOAA,2016-09-29,18:36:00,4.606,NAVD,0,8551910-2016-272
