,Unnamed: 0,Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
0,303,2020-10-30 03:36:00-04:00,4.53,8557380,NOAA,2020-10-30,2023-05-30 03:36:00,4.531,NAVD,0,8557380-2020-303
1,5852,2020-01-25 04:30:00-05:00,4.54,1484085,USGS,2020-01-25,2023-05-30 04:30:00,4.54,NAVD,0,01484085-2020-5852
2,68381,2020-10-12 14:18:00-04:00,4.65,1484085,USGS,2020-10-12,2023-05-30 14:18:00,4.65,NAVD,0,01484085-2020-68381
3,72586,2020-10-30 04:54:00-04:00,4.51,1484085,USGS,2020-10-30,2023-05-30 04:54:00,4.51,NAVD,0,01484085-2020-72586
4,120,2020-04-30 12:54:00-04:00,4.86,8551910,NOAA,2020-04-30,2023-05-30 12:54:00,4.862,NAVD,0,8551910-2020-120
5,216,2020-08-04 07:30:00-04:00,4.84,8551910,NOAA,2020-08-04,2023-05-30 07:30:00,4.836,NAVD,0,8551910-2020-216
6,229,2020-08-17 17:36:00-04:00,4.65,8551910,NOAA,2020-08-17,2023-05-30 17:36:00,4.652,NAVD,0,8551910-2020-229
