Source,SiteID,Date Time,Water Level,Date,Time,Identifier
USGS,01484085,2023-01-01 01:24:00-05:00,1.88,2023-01-01,06:24,01484085-2023-64
USGS,01484085,2023-01-01 01:30:00-05:00,1.82,2023-01-01,06:30,01484085-2023-65
USGS,01484085,2023-01-01 01:36:00-05:00,1.75,2023-01-01,06:36,01484085-2023-66
USGS,01484085,2023-01-01 01:42:00-05:00,1.66,2023-01-01,06:42,01484085-2023-67
USGS,01484085,2023-01-01 01:48:00-05:00,1.59,2023-01-01,06:48,01484085-2023-68
USGS,01484085,2023-01-01 01:54:00-05:00,1.51,2023-01-01,06:54,01484085-2023-69
USGS,01484085,2023-01-01 02:00:00-05:00,1.41,2023-01-01,07:00,01484085-2023-70
USGS,01484085,2023-01-01 02:06:00-05:00,1.33,2023-01-01,07:06,01484085-2023-71
USGS,01484085,2023-01-01 02:12:00-05:00,1.2,2023-01-01,07:12,01484085-2023-72
USGS,01484085,2023-01-01 02:18:00-05:00,1.12,2023-01-01,07:18,01484085-2023-73
USGS,01484085,2023-01-01 02:24:00-05:00,1.03,2023-01-01,07:24,01484085-2023-74
USGS,01484085,2023-01-01 02:30:00-05:00,0.98,2023-01-01,07:30,01484085-2023-75
USGS,01484085,2023-01-01 02:36:00-05:00,0.91,2023-01-01,07:36,01484085-2023-76
USGS,01484085,2023-01-01 02:42:00-05:00,0.8,2023-01-01,07:42,01484085-2023-77
USGS,01484085,2023-01-01 02:48:00-05:00,0.69,2023-01-01,07:48,01484085-2023-78
USGS,01484085,2023-01-01 02:54:00-05:00,0.57,2023-01-01,07:54,01484085-2023-79
USGS,01484085,2023-01-01 03:00:00-05:00,0.44,2023-01-01,08:00,01484085-2023-80
USGS,01484085,2023-01-01 03:06:00-05:00,0.33,2023-01-01,08:06,01484085-2023-81
USGS,01484085,2023-01-01 03:12:00-05:00,0.19,2023-01-01,08:12,01484085-2023-82
USGS,01484085,2023-01-01 03:18:00-05:00,0.12,2023-01-01,08:18,01484085-2023-83
USGS,01484085,2023-01-01 03:24:00-05:00,0.03,2023-01-01,08:24,01484085-2023-84
USGS,01484085,2023-01-01 03:30:00-05:00,-0.11,2023-01-01,08:30,01484085-2023-85
