Date Time,Water Level,SiteID,Source,Date,Time,Identifier
2022-12-31 23:12:00-05:00,1.932,8557380,NOAA,2022-12-31,23:12:00,8557380-2023-0
2023-01-02 00:06:00-05:00,1.87,8557380,NOAA,2023-01-02,00:06:00,8557380-2023-1
2023-01-03 01:00:00-05:00,2.379,8557380,NOAA,2023-01-03,01:00:00,8557380-2023-2
2023-01-04 02:00:00-05:00,2.051,8557380,NOAA,2023-01-04,02:00:00,8557380-2023-3
2023-01-05 02:48:00-05:00,2.582,8557380,NOAA,2023-01-05,02:48:00,8557380-2023-4
2023-01-06 03:00:00-05:00,3.278,8557380,NOAA,2023-01-06,03:00:00,8557380-2023-5
2023-01-07 03:42:00-05:00,2.841,8557380,NOAA,2023-01-07,03:42:00,8557380-2023-6
2023-01-08 04:18:00-05:00,2.648,8557380,NOAA,2023-01-08,04:18:00,8557380-2023-7
2023-01-09 04:48:00-05:00,2.69,8557380,NOAA,2023-01-09,04:48:00,8557380-2023-8
2023-01-10 05:36:00-05:00,2.205,8557380,NOAA,2023-01-10,05:36:00,8557380-2023-9
2023-01-11 06:18:00-05:00,2.664,8557380,NOAA,2023-01-11,06:18:00,8557380-2023-10
2023-01-12 06:36:00-05:00,2.562,8557380,NOAA,2023-01-12,06:36:00,8557380-2023-11
2023-01-13 07:18:00-05:00,1.923,8557380,NOAA,2023-01-13,07:18:00,8557380-2023-12
2023-01-13 20:18:00-05:00,1.969,8557380,NOAA,2023-01-13,20:18:00,8557380-2023-13
2023-01-14 21:30:00-05:00,2.441,8557380,NOAA,2023-01-14,21:30:00,8557380-2023-14
2023-01-15 22:18:00-05:00,3.242,8557380,NOAA,2023-01-15,22:18:00,8557380-2023-15
2023-01-16 23:12:00-05:00,2.753,8557380,NOAA,2023-01-16,23:12:00,8557380-2023-16
2023-01-18 00:00:00-05:00,2.379,8557380,NOAA,2023-01-18,00:00:00,8557380-2023-17
2023-01-19 01:06:00-05:00,2.658,8557380,NOAA,2023-01-19,01:06:00,8557380-2023-18
2023-01-20 02:12:00-05:00,3.317,8557380,NOAA,2023-01-20,02:12:00,8557380-2023-19
2023-01-21 03:06:00-05:00,3.173,8557380,NOAA,2023-01-21,03:06:00,8557380-2023-20
2023-01-22 03:42:00-05:00,3.435,8557380,NOAA,2023-01-22,03:42:00,8557380-2023-21
2023-01-23 04:30:00-05:00,3.579,8557380,NOAA,2023-01-23,04:30:00,8557380-2023-22
2023-01-24 05:24:00-05:00,2.126,8557380,NOAA,2023-01-24,05:24:00,8557380-2023-23
2023-01-25 18:24:00-05:00,2.795,8557380,NOAA,2023-01-25,18:24:00,8557380-2023-24
2023-01-26 06:54:00-05:00,1.992,8557380,NOAA,2023-01-26,06:54:00,8557380-2023-25
2023-01-26 19:30:00-05:00,1.053,8557380,NOAA,2023-01-26,19:30:00,8557380-2023-26
2023-01-27 20:36:00-05:00,1.562,8557380,NOAA,2023-01-27,20:36:00,8557380-2023-27
2023-01-28 21:30:00-05:00,1.473,8557380,NOAA,2023-01-28,21:30:00,8557380-2023-28
2023-01-29 22:36:00-05:00,1.755,8557380,NOAA,2023-01-29,22:36:00,8557380-2023-29
2023-01-30 23:36:00-05:00,2.054,8557380,NOAA,2023-01-30,23:36:00,8557380-2023-30
2023-02-01 00:18:00-05:00,2.395,8557380,NOAA,2023-02-01,00:18:00,8557380-2023-31
2023-02-02 01:24:00-05:00,2.215,8557380,NOAA,2023-02-02,01:24:00,8557380-2023-32
2023-02-03 02:54:00-05:00,1.591,8557380,NOAA,2023-02-03,02:54:00,8557380-2023-33
2023-02-04 02:48:00-05:00,0.561,8557380,NOAA,2023-02-04,02:48:00,8557380-2023-34
2023-02-05 03:42:00-05:00,0.725,8557380,NOAA,2023-02-05,03:42:00,8557380-2023-35
2023-02-06 04:06:00-05:00,2.037,8557380,NOAA,2023-02-06,04:06:00,8557380-2023-36
2023-02-07 04:42:00-05:00,2.707,8557380,NOAA,2023-02-07,04:42:00,8557380-2023-37
2023-02-08 05:12:00-05:00,2.697,8557380,NOAA,2023-02-08,05:12:00,8557380-2023-38
2023-02-09 17:54:00-05:00,1.949,8557380,NOAA,2023-02-09,17:54:00,8557380-2023-39
2023-02-10 18:24:00-05:00,1.686,8557380,NOAA,2023-02-10,18:24:00,8557380-2023-40
2023-02-11 07:06:00-05:00,1.037,8557380,NOAA,2023-02-11,07:06:00,8557380-2023-41
2023-02-11 19:36:00-05:00,1.388,8557380,NOAA,2023-02-11,19:36:00,8557380-2023-42
2023-02-12 20:24:00-05:00,3.189,8557380,NOAA,2023-02-12,20:24:00,8557380-2023-43
2023-02-13 21:18:00-05:00,2.277,8557380,NOAA,2023-02-13,21:18:00,8557380-2023-44
2023-02-14 22:42:00-05:00,2.218,8557380,NOAA,2023-02-14,22:42:00,8557380-2023-45
2023-02-15 23:36:00-05:00,2.028,8557380,NOAA,2023-02-15,23:36:00,8557380-2023-46
2023-02-17 00:42:00-05:00,2.638,8557380,NOAA,2023-02-17,00:42:00,8557380-2023-47
2023-02-18 01:48:00-05:00,2.9,8557380,NOAA,2023-02-18,01:48:00,8557380-2023-48
2023-02-19 02:36:00-05:00,2.943,8557380,NOAA,2023-02-19,02:36:00,8557380-2023-49
2023-02-20 03:36:00-05:00,3.005,8557380,NOAA,2023-02-20,03:36:00,8557380-2023-50
2023-02-21 04:12:00-05:00,3.337,8557380,NOAA,2023-02-21,04:12:00,8557380-2023-51
2023-02-22 17:36:00-05:00,2.956,8557380,NOAA,2023-02-22,17:36:00,8557380-2023-52
2023-02-23 18:18:00-05:00,3.166,8557380,NOAA,2023-02-23,18:18:00,8557380-2023-53
