Date Time,Water Level,SiteID,Source,Date,Time,Identifier
2018-01-01 02:24:00-05:00,2.582,8557380,NOAA,2018-01-01,02:24:00,8557380-2018-0
2018-01-02 03:30:00-05:00,2.09,8557380,NOAA,2018-01-02,03:30:00,8557380-2018-1
2018-01-03 04:18:00-05:00,2.566,8557380,NOAA,2018-01-03,04:18:00,8557380-2018-2
2018-01-04 05:12:00-05:00,3.619,8557380,NOAA,2018-01-04,05:12:00,8557380-2018-3
2018-01-05 05:48:00-05:00,1.148,8557380,NOAA,2018-01-05,05:48:00,8557380-2018-4
2018-01-06 06:54:00-05:00,-0.8,8557380,NOAA,2018-01-06,06:54:00,8557380-2018-5
2018-01-07 07:30:00-05:00,0.269,8557380,NOAA,2018-01-07,07:30:00,8557380-2018-6
2018-01-07 20:12:00-05:00,0.269,8557380,NOAA,2018-01-07,20:12:00,8557380-2018-7
2018-01-09 09:24:00-05:00,0.062,8557380,NOAA,2018-01-09,09:24:00,8557380-2018-8
2018-01-09 22:24:00-05:00,0.83,8557380,NOAA,2018-01-09,22:24:00,8557380-2018-9
2018-01-10 23:12:00-05:00,1.27,8557380,NOAA,2018-01-10,23:12:00,8557380-2018-10
2018-01-12 00:00:00-05:00,1.578,8557380,NOAA,2018-01-12,00:00:00,8557380-2018-11
2018-01-13 01:06:00-05:00,1.598,8557380,NOAA,2018-01-13,01:06:00,8557380-2018-12
2018-01-14 01:42:00-05:00,1.431,8557380,NOAA,2018-01-14,01:42:00,8557380-2018-13
2018-01-15 02:42:00-05:00,2.339,8557380,NOAA,2018-01-15,02:42:00,8557380-2018-14
2018-01-16 03:12:00-05:00,2.631,8557380,NOAA,2018-01-16,03:12:00,8557380-2018-15
2018-01-17 03:42:00-05:00,2.267,8557380,NOAA,2018-01-17,03:42:00,8557380-2018-16
2018-01-18 04:00:00-05:00,2.129,8557380,NOAA,2018-01-18,04:00:00,8557380-2018-17
2018-01-19 04:48:00-05:00,2.133,8557380,NOAA,2018-01-19,04:48:00,8557380-2018-18
2018-01-20 05:18:00-05:00,1.903,8557380,NOAA,2018-01-20,05:18:00,8557380-2018-19
2018-01-21 06:06:00-05:00,1.375,8557380,NOAA,2018-01-21,06:06:00,8557380-2018-20
2018-01-22 06:48:00-05:00,1.768,8557380,NOAA,2018-01-22,06:48:00,8557380-2018-21
2018-01-23 07:18:00-05:00,2.149,8557380,NOAA,2018-01-23,07:18:00,8557380-2018-22
2018-01-23 19:48:00-05:00,1.585,8557380,NOAA,2018-01-23,19:48:00,8557380-2018-23
2018-01-24 21:00:00-05:00,0.965,8557380,NOAA,2018-01-24,21:00:00,8557380-2018-24
2018-01-25 22:00:00-05:00,1.168,8557380,NOAA,2018-01-25,22:00:00,8557380-2018-25
2018-01-26 23:12:00-05:00,1.519,8557380,NOAA,2018-01-26,23:12:00,8557380-2018-26
2018-01-28 00:06:00-05:00,1.506,8557380,NOAA,2018-01-28,00:06:00,8557380-2018-27
2018-01-29 01:12:00-05:00,2.576,8557380,NOAA,2018-01-29,01:12:00,8557380-2018-28
2018-01-30 02:24:00-05:00,4.15,8557380,NOAA,2018-01-30,02:24:00,8557380-2018-29
2018-01-31 03:06:00-05:00,3.35,8557380,NOAA,2018-01-31,03:06:00,8557380-2018-30
2018-02-01 04:06:00-05:00,2.021,8557380,NOAA,2018-02-01,04:06:00,8557380-2018-31
2018-02-02 04:30:00-05:00,2.74,8557380,NOAA,2018-02-02,04:30:00,8557380-2018-32
2018-02-03 05:30:00-05:00,1.765,8557380,NOAA,2018-02-03,05:30:00,8557380-2018-33
2018-02-04 18:18:00-05:00,1.798,8557380,NOAA,2018-02-04,18:18:00,8557380-2018-34
2018-02-05 07:00:00-05:00,0.824,8557380,NOAA,2018-02-05,07:00:00,8557380-2018-35
