Source,SiteID,Date Time,Water Level,Date,Time,Measured Water Level,VDatum,Offset,Identifier
USGS,01484085,2020-01-25 04:30:00-05:00,4.54,2020-01-25,04:30:00,4.54,NAVD,0,01484085-2020-5852
USGS,01484085,2020-01-25 04:36:00-05:00,4.55,2020-01-25,04:36:00,4.55,NAVD,0,01484085-2020-5853
USGS,01484085,2020-10-12 14:18:00-04:00,4.65,2020-10-12,14:18:00,4.65,NAVD,0,01484085-2020-68381
USGS,01484085,2020-10-12 14:36:00-04:00,4.5,2020-10-12,14:36:00,4.5,NAVD,0,01484085-2020-68384
USGS,01484085,2020-10-12 15:06:00-04:00,4.53,2020-10-12,15:06:00,4.53,NAVD,0,01484085-2020-68388
USGS,01484085,2020-10-30 04:54:00-04:00,4.51,2020-10-30,04:54:00,4.51,NAVD,0,01484085-2020-72586
