,Date Time,Water Level,SiteID,Source,Date,Time,Measured Water Level,VDatum,Offset,Identifier
120,2020-04-30 12:54:00-04:00,4.86,8551910,NOAA,2020-04-30,12:54:00,4.862,NAVD,0,8551910-2020-120
216,2020-08-04 07:30:00-04:00,4.84,8551910,NOAA,2020-08-04,07:30:00,4.836,NAVD,0,8551910-2020-216
229,2020-08-17 17:36:00-04:00,4.65,8551910,NOAA,2020-08-17,17:36:00,4.652,NAVD,0,8551910-2020-229
